mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dense_layer_sizes,param_embedding_dim,param_epochs,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
55.032432635625206,1.4457275896643456,0.7879621982574463,0.028861901691581118,32,"(128, 64)",8,20,0.0005,"{'batch_size': 32, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 20, 'learning_rate': 0.0005}",-1404547200.0,-1110336768.0,-1144538496.0,-1219807488.0,131374808.44750692,27
63.41252851486206,13.781654491113436,0.7548893292744955,0.061375153994728426,32,"(128, 64)",8,20,0.001,"{'batch_size': 32, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 20, 'learning_rate': 0.001}",-13864607744.0,-1099240576.0,-971608064.0,-5311818794.666667,6047959524.964248,62
64.38346497217815,13.039802738131273,0.7448406219482422,0.06050501816641902,32,"(128, 64)",8,20,0.01,"{'batch_size': 32, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 20, 'learning_rate': 0.01}",-1137429376.0,-1492869632.0,-1487617408.0,-1372638805.3333333,166332003.7349413,41
83.03723486264546,2.2534515762277154,0.750845750172933,0.050817498045561696,32,"(128, 64)",8,30,0.0005,"{'batch_size': 32, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 30, 'learning_rate': 0.0005}",-1659065856.0,-1275081856.0,-1766532864.0,-1566893525.3333333,210954698.4883216,49
81.54057129224141,0.12444637990730636,0.7336285909016927,0.05826954270615152,32,"(128, 64)",8,30,0.001,"{'batch_size': 32, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 30, 'learning_rate': 0.001}",-1036823744.0,-944440448.0,-1356395136.0,-1112553109.3333333,176499044.04205033,18
82.04940398534139,0.5729406594263895,0.7386326789855957,0.07405028069679331,32,"(128, 64)",8,30,0.01,"{'batch_size': 32, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 30, 'learning_rate': 0.01}",-591851328.0,-1385270016.0,-1349617280.0,-1108912874.6666667,365907330.4149249,17
109.33000588417053,1.105652667801693,0.6900715827941895,0.005649529546612181,32,"(128, 64)",8,40,0.0005,"{'batch_size': 32, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 40, 'learning_rate': 0.0005}",-249409634304.0,-1319431552.0,-1008407552.0,-83912491136.0,117024221087.08739,69
109.3704019387563,1.0254425190362904,0.7504854202270508,0.05741957811422505,32,"(128, 64)",8,40,0.001,"{'batch_size': 32, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 40, 'learning_rate': 0.001}",-1246065664.0,-1202286720.0,-1005897280.0,-1151416554.6666667,104438318.18853131,24
121.36911686261494,15.150608740189705,0.7020524342854818,0.012859835019842357,32,"(128, 64)",8,40,0.01,"{'batch_size': 32, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 40, 'learning_rate': 0.01}",-1326008064.0,-1466051968.0,-596737152.0,-1129599061.3333333,381103165.8887695,22
79.71665676434834,2.1736900305801985,0.6977688471476237,0.008010902433865777,32,"(128, 64)",16,20,0.0005,"{'batch_size': 32, 'dense_layer_sizes': (128, 64), 'embedding_dim': 16, 'epochs': 20, 'learning_rate': 0.0005}",-1218490793984.0,-1224921984.0,-2718042112.0,-407477919360.0,573473027239.2021,70
