,sme_ban,point_est_date,total_sales,total_points,total_order,version
0,83500889,2023-06-05 15:22:21,46800,23400,2,NCF Model
1,83052377,2023-06-16 12:15:33,28000,14000,4,NCF Model
2,26460909,2023-06-13 13:52:12,0,0,0,NCF Model
3,92308060,2023-06-14 15:34:13,60000,30000,1,NCF Model
4,90849575,2023-06-07 16:44:51,60000,30000,1,NCF Model
5,90127417,2023-06-08 10:47:41,0,0,0,NCF Model
6,39823989,2023-06-15 13:19:32,19200,9600,1,NCF Model
7,39737422,2023-06-17 16:06:38,60000,30000,1,NCF Model
8,91853365,2023-06-07 20:19:14,59600,29800,1,NCF Model
9,89164672,2023-06-08 14:29:35,27000,13500,1,NCF Model
10,87474546,2023-06-17 14:47:53,60000,30000,2,NCF Model
11,90936563,2023-06-13 13:49:46,38400,19200,1,NCF Model
12,45850982,2023-06-19 16:23:19,60000,30000,1,NCF Model
13,82561726,2023-06-01 13:48:13,60000,30000,1,NCF Model
14,54182175,2023-06-09 12:13:48,66800,30000,1,NCF Model
15,88903550,2023-06-15 11:46:37,0,0,0,NCF Model
16,81050872,2023-06-15 11:19:49,0,0,0,NCF Model
17,9814219,2023-06-01 15:04:13,60000,30000,2,NCF Model
18,37850496,2023-06-07 22:15:48,53000,26500,3,NCF Model
19,90056270,2023-06-15 11:25:38,0,0,0,NCF Model
20,83019547,2023-06-09 22:18:59,28800,14400,2,NCF Model
21,91837871,2023-06-07 14:56:58,34656,17328,1,NCF Model
22,97378705,2023-06-14 11:54:50,66800,30000,1,NCF Model
23,53302193,2023-06-14 14:43:17,37500,18750,1,NCF Model
24,36712405,2023-06-07 11:01:14,19200,9600,2,NCF Model
25,83522808,2023-06-14 09:15:40,31500,15750,2,NCF Model
26,39030116,2023-06-09 14:32:02,48000,24000,4,NCF Model
27,42699274,2023-06-06 13:18:19,0,0,0,NCF Model
28,88648833,2023-06-15 14:29:06,60000,30000,2,NCF Model
29,28746732,2023-06-09 15:55:35,66800,30000,1,NCF Model
30,92535662,2023-06-09 23:49:46,60000,30000,2,NCF Model
31,41280928,2023-06-10 19:03:09,60000,30000,1,NCF Model
32,83276664,2023-06-08 11:48:42,25000,12500,1,NCF Model
33,90002471,2023-06-08 14:11:40,18000,9000,3,NCF Model
34,83497033,2023-06-13 10:54:46,2388,1194,1,NCF Model
35,85658532,2023-06-12 13:44:01,60000,30000,1,NCF Model
36,40737505,2023-06-10 21:28:37,0,0,0,NCF Model
37,72540385,2023-06-14 19:27:56,35256,17628,1,NCF Model
38,82773539,2023-06-16 15:27:12,60000,30000,1,NCF Model
39,91558477,2023-06-14 07:24:37,23856,11928,1,NCF Model
40,88935321,2023-06-13 22:27:37,19200,9600,1,NCF Model
