encoded,original
0,54128264
1,37742265
2,53416463
3,53200180
4,82973966
5,83259433
6,92507770
7,83734227
8,85402011
9,50777462
10,86352587
11,85067311
12,38829182
13,90530727
14,75510624
15,17780867
16,30289937
17,30179170
18,53043653
19,88289750
20,47730035
21,83536373
22,91835064
23,72342028
24,26434678
25,85933587
26,85503524
27,91411657
28,26586175
29,42521220
30,85008622
31,90133760
32,90163118
33,88295824
34,91245406
35,70392177
36,42670852
37,52721768
38,40795589
39,24687418
40,25174153
41,57975500
42,25163590
43,50858632
44,89223638
45,83084814
46,10860648
47,60390185
48,97184807
49,53691340
50,53858707
51,91223228
52,89115574
53,82794984
54,99530635
55,23323592
56,54731355
57,90145479
58,59309222
59,16796638
60,24423824
61,12877173
62,49812770
63,88225763
64,83791107
65,82314704
66,16356364
67,69677610
68,87591621
69,88257005
70,91286362
71,91638417
72,37552172
73,90147357
74,41311555
75,50875392
76,90055862
77,27555544
78,90588614
79,90381233
80,82401968
81,22205674
82,23229457
83,90875593
84,83603457
85,37584028
86,2933767
87,23805726
88,25073423
89,13170415
90,59549004
91,28589775
92,90296172
93,90335111
94,22800548
95,88775990
96,91402340
97,13018550
98,83183151
99,6252636
100,85938942
101,91288306
102,81485497
103,91256395
104,24435188
105,87262661
106,83725254
107,89003022
108,50972731
109,53539520
110,91103096
111,53101317
112,93802547
113,70351491
114,66602263
115,39988779
116,12538202
117,24322754
118,85399846
119,59130346
120,28651003
121,27461531
122,27972317
123,85955420
124,90533267
125,54159385
126,90206600
127,96934583
128,80070273
129,72531392
130,52333330
131,69372482
132,91036273
133,91438591
134,88104162
135,91377145
136,91376639
137,88641542
138,90733096
139,24577616
140,90107215
141,85425675
142,27526231
143,28685720
144,97035005
145,54682220
146,22785188
147,91634524
148,52444223
149,88768506
150,22977405
151,90296187
152,70561546
153,90725589
154,53372726
155,15595752
156,80596312
157,50654861
158,54339459
159,55872042
160,88304339
161,8939916
162,90689850
163,89951262
164,24600433
165,82797146
166,56610567
167,25432048
168,48827634
169,53563324
170,84182010
171,53180327
172,87496197
173,90175888
174,90203569
175,42921838
176,54885772
177,98112752
178,28847838
179,89610342
180,84820072
181,45026602
182,54175147
183,99228289
184,34986323
185,72659572
186,19500032
187,88650154
188,88651371
189,31814749
190,79879973
