encoded,original
0,F39E93C29EB92923E0531512620AECF8
1,F03FE160346F0DAEE0531512620AC1A1
2,F39E93C29E592923E0531512620AECF8
3,F03FE16037430DAEE0531512620AC1A1
4,F39E93C29E252923E0531512620AECF8
5,F03FE16039330DAEE0531512620AC1A1
6,F03FE16039270DAEE0531512620AC1A1
7,F39E93C29E452923E0531512620AECF8
8,F03FE160391B0DAEE0531512620AC1A1
9,DCAA739CC311206FE0531512620AD3C7
10,DCAA739CBE16206FE0531512620AD3C7
11,F03FE16035730DAEE0531512620AC1A1
12,F03FE16034FB0DAEE0531512620AC1A1
13,DCAA739CC152206FE0531512620AD3C7
14,DCAA739CBEBA206FE0531512620AD3C7
15,DCAA739CC418206FE0531512620AD3C7
16,DCAA739CC026206FE0531512620AD3C7
17,DCAA739CC01E206FE0531512620AD3C7
18,DCAA739CC022206FE0531512620AD3C7
19,DCAA739CC14A206FE0531512620AD3C7
20,DCAA739CC012206FE0531512620AD3C7
21,DCAA739CC378206FE0531512620AD3C7
22,DCAA739CBFFE206FE0531512620AD3C7
23,DCAA739CBF76206FE0531512620AD3C7
24,DCAA739CBF0A206FE0531512620AD3C7
25,DCAA739CBE6A206FE0531512620AD3C7
26,DCAA739CBF7A206FE0531512620AD3C7
27,DCAA739CC38C206FE0531512620AD3C7
28,DFD15B1EA9365FECE0531512620AD3A1
29,DCAA739CC343206FE0531512620AD3C7
30,DCAA739CBFB2206FE0531512620AD3C7
31,F03FE16032AF0DAEE0531512620AC1A1
32,DCAA739CC229206FE0531512620AD3C7
33,DCAA739CC3AD206FE0531512620AD3C7
34,F03FE16035570DAEE0531512620AC1A1
35,F39E93C29AF52923E0531512620AECF8
36,F03FE16038230DAEE0531512620AC1A1
37,F39E93C29E3D2923E0531512620AECF8
38,F03FE16033870DAEE0531512620AC1A1
39,F03FE160338B0DAEE0531512620AC1A1
40,F03FE160393B0DAEE0531512620AC1A1
41,F03FE16034970DAEE0531512620AC1A1
42,F03FE16035030DAEE0531512620AC1A1
43,F39E93C29B052923E0531512620AECF8
44,F39E93C29B092923E0531512620AECF8
45,F03FE16034770DAEE0531512620AC1A1
46,F03FE16037CF0DAEE0531512620AC1A1
47,F03FE16036370DAEE0531512620AC1A1
48,F03FE16035830DAEE0531512620AC1A1
49,DCAA739CBF6E206FE0531512620AD3C7
50,DCAA739CC016206FE0531512620AD3C7
51,DFD15B1EA8E65FECE0531512620AD3A1
52,F03FE160341F0DAEE0531512620AC1A1
53,DCAA739CC366206FE0531512620AD3C7
54,DCAA739CBE72206FE0531512620AD3C7
55,DFD15B1EA83A5FECE0531512620AD3A1
56,DCAA739CBFEA206FE0531512620AD3C7
57,DCAA739CC392206FE0531512620AD3C7
58,DCAA739CBF32206FE0531512620AD3C7
59,F03FE16039130DAEE0531512620AC1A1
60,F39E93C29ECD2923E0531512620AECF8
61,DCAA739CBEEE206FE0531512620AD3C7
62,F03FE160398F0DAEE0531512620AC1A1
63,F03FE16039AB0DAEE0531512620AC1A1
64,F03FE16032B70DAEE0531512620AC1A1
65,F03FE16034230DAEE0531512620AC1A1
66,F03FE16034270DAEE0531512620AC1A1
67,F39E93C29E412923E0531512620AECF8
68,F03FE16034930DAEE0531512620AC1A1
69,F39E93C29E2D2923E0531512620AECF8
70,DCAA739CBE12206FE0531512620AD3C7
71,DCAA739CC0A6206FE0531512620AD3C7
72,DCAA739CC04A206FE0531512620AD3C7
73,DCAA739CC440206FE0531512620AD3C7
74,DCAA739CBEC2206FE0531512620AD3C7
75,DCAA739CC07E206FE0531512620AD3C7
76,DCAA739CBEF2206FE0531512620AD3C7
77,DCAA739CBFF6206FE0531512620AD3C7
78,DFD15B1EA8965FECE0531512620AD3A1
79,DCAA739CC256206FE0531512620AD3C7
80,F03FE16038270DAEE0531512620AC1A1
81,F03FE160382B0DAEE0531512620AC1A1
82,DCAA739CC036206FE0531512620AD3C7
83,DCAA739CBEBE206FE0531512620AD3C7
